customer_idx,risk_segment,y_true,p_churn_original,monthly_charges,tenure,is_senior_alone,has_support,internet_fiber,contract_m2m,payment_echeck,discount_id,discount_label,p_churn_after,retention_lift,cost_annual,revenue_saved,roi
12,Low Risk,1,0.2573135793209076,55.65,24.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.03890342637896538,0.21841015294194221,200.34,291.708600269258,0.45606768627961464
13,Low Risk,0,0.17684675753116608,79.2,60.0,0,0,1,0,0,none,Kein pos. ROI verfuegbar,0.17684675753116608,0.0,0.0,0.0,0.0
14,Medium Risk,1,0.6102388501167297,69.35,3.0,0,1,0,1,1,contract_2y,Jahresvertrag 2J (-15%),0.14733090996742249,0.46290794014930725,249.65999999999997,770.4639755845069,2.086052934328715
15,High Risk,1,0.7084972858428955,74.95,23.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.1912786066532135,0.517218679189682,269.82,930.3729601263999,2.4481245279312134
16,Low Risk,0,0.012335333973169327,25.1,72.0,1,0,0,0,0,none,Kein pos. ROI verfuegbar,0.012335333973169327,0.0,0.0,0.0,0.0
17,Low Risk,0,0.03378552198410034,19.2,25.0,0,0,0,1,0,none,Kein pos. ROI verfuegbar,0.03378552198410034,0.0,0.0,0.0,0.0
18,Medium Risk,1,0.6308415532112122,95.05,50.0,0,0,1,1,1,contract_1y,Jahresvertrag 1J (-10%),0.343138188123703,0.28770336508750916,228.12,656.3089164376258,1.8770336508750913
19,Low Risk,0,0.009871984831988811,19.75,72.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.009871984831988811,0.0,0.0,0.0,0.0
20,Low Risk,0,0.058597683906555176,40.55,6.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.058597683906555176,0.0,0.0,0.0,0.0
21,High Risk,1,0.8685969710350037,74.4,3.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.3258167505264282,0.5427802205085754,267.84000000000003,969.1883617401124,2.618534803390503
22,Low Risk,1,0.15101630985736847,19.85,2.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.15101630985736847,0.0,0.0,0.0,0.0
23,Low Risk,0,0.07028552889823914,110.9,72.0,0,1,1,0,0,none,Kein pos. ROI verfuegbar,0.07028552889823914,0.0,0.0,0.0,0.0
24,Medium Risk,0,0.5329208970069885,95.5,35.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.14522910118103027,0.38769179582595825,343.79999999999995,888.5895960330963,1.5846119721730554
25,Low Risk,0,0.018353719264268875,23.65,62.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.018353719264268875,0.0,0.0,0.0,0.0
26,Low Risk,0,0.018763748928904533,20.2,29.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.018763748928904533,0.0,0.0,0.0,0.0
27,High Risk,0,0.8758997917175293,87.1,8.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.3771262764930725,0.4987735152244568,313.56,1042.6361562252043,2.325156768163045
28,High Risk,1,0.8986059427261353,80.2,2.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.37772706151008606,0.5208788812160492,288.71999999999997,1002.5876705646515,2.4725258747736616
29,Low Risk,1,0.3455001413822174,109.5,70.0,0,1,1,0,0,none,Kein pos. ROI verfuegbar,0.3455001413822174,0.0,0.0,0.0,0.0
30,Low Risk,0,0.1492927074432373,110.75,72.0,0,1,1,0,1,payment_switch,Kreditkarten-Umstieg,0.10189305245876312,0.04739965498447418,120.0,125.98828294873238,0.04990235790610313
31,Low Risk,0,0.05181262269616127,39.4,20.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.05181262269616127,0.0,0.0,0.0,0.0
32,High Risk,1,0.7513366937637329,29.95,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.21967792510986328,0.5316587686538696,107.82,382.1563229084015,2.544391791025798
33,Low Risk,0,0.39318132400512695,50.05,55.0,1,0,0,0,0,support_bundle,Support-Paket (-8%),0.21111875772476196,0.182062566280365,96.09599999999999,218.69355461597445,1.2757820785045628
34,Low Risk,0,0.2505542039871216,49.75,52.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.05405402556061745,0.19650017842650414,179.1,234.62121304124594,0.3100011895100276
35,High Risk,0,0.7379395961761475,50.15,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.18559014797210693,0.5523494482040405,180.53999999999996,664.8077958583831,2.682329654693604
36,Low Risk,0,0.035920485854148865,53.1,36.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.035920485854148865,0.0,0.0,0.0,0.0
37,Medium Risk,0,0.6902036070823669,83.2,15.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.14270341396331787,0.5475001931190491,299.52,1093.2483856201172,2.6500012874603276
38,Medium Risk,1,0.5538626909255981,71.05,50.0,0,0,1,1,1,contract_1y,Jahresvertrag 1J (-10%),0.2532515227794647,0.3006111681461334,170.52,512.6021639227868,2.0061116814613347
39,Low Risk,0,0.03651788458228111,25.85,27.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.03651788458228111,0.0,0.0,0.0,0.0
40,Low Risk,0,0.3216583728790283,80.75,40.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.3216583728790283,0.0,0.0,0.0,0.0
41,Low Risk,0,0.028299890458583832,24.75,51.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.028299890458583832,0.0,0.0,0.0,0.0
42,Medium Risk,1,0.5039498209953308,53.85,5.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.10372161120176315,0.40022820979356766,193.86,517.2549383372068,1.6681880652904506
43,High Risk,1,0.9175803065299988,78.8,1.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.43574032187461853,0.48183998465538025,283.67999999999995,911.2557789802551,2.212266564369202
44,Low Risk,0,0.32553839683532715,21.2,10.0,0,0,0,1,1,contract_2y,Jahresvertrag 2J (-15%),0.07037405669689178,0.25516434013843536,76.32,129.82761626243592,0.7010956009229027
45,High Risk,0,0.7700180411338806,94.05,7.0,0,0,1,0,0,support_bundle,Support-Paket (-8%),0.6364664435386658,0.13355159759521484,180.576,301.4526660919189,0.6693949699401853
46,High Risk,0,0.7827248573303223,78.75,16.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.2850366234779358,0.4976882338523865,283.5,940.6307619810104,2.3179215590159097
47,Medium Risk,1,0.4129389226436615,106.35,32.0,0,0,1,1,0,contract_1y,Jahresvertrag 1J (-10%),0.2868767976760864,0.12606212496757507,255.24,321.7609677672386,0.26062124967575057
48,Medium Risk,0,0.48089736700057983,90.7,31.0,0,0,1,0,1,payment_switch,Kreditkarten-Umstieg,0.34617486596107483,0.134722501039505,120.0,293.2639402627945,1.4438661688566208
49,Low Risk,0,0.12021855264902115,90.1,50.0,0,1,1,0,0,none,Kein pos. ROI verfuegbar,0.12021855264902115,0.0,0.0,0.0,0.0
50,Low Risk,0,0.06348373740911484,19.9,35.0,0,0,0,0,1,none,Kein pos. ROI verfuegbar,0.06348373740911484,0.0,0.0,0.0,0.0
51,Low Risk,0,0.10049615800380707,19.9,7.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.10049615800380707,0.0,0.0,0.0,0.0
52,Medium Risk,0,0.5756022930145264,49.8,17.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.12266725301742554,0.45293503999710083,179.27999999999997,541.3479598045349,2.019566933314006
53,Medium Risk,0,0.5612518191337585,98.85,51.0,0,0,1,0,1,payment_switch,Kreditkarten-Umstieg,0.48032131791114807,0.08093050122261047,120.0,191.99952110052106,0.5999960091710089
54,High Risk,1,0.8333452939987183,74.4,4.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.25493961572647095,0.5784056782722473,267.84000000000003,1032.8011791229249,2.856037855148315
55,Medium Risk,0,0.6013073325157166,85.6,23.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.14185884594917297,0.4594484865665436,308.15999999999997,943.890970802307,2.062989910443624
56,High Risk,1,0.729305624961853,94.25,34.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.26402366161346436,0.46528196334838867,339.29999999999995,1052.4678010940552,2.1018797556559248
57,Low Risk,0,0.045300520956516266,50.55,67.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.045300520956516266,0.0,0.0,0.0,0.0
58,Low Risk,0,0.03529444336891174,83.25,51.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.03529444336891174,0.0,0.0,0.0,0.0
59,Low Risk,0,0.03311755508184433,26.1,10.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.03311755508184433,0.0,0.0,0.0,0.0
60,Low Risk,0,0.018878433853387833,25.0,64.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.018878433853387833,0.0,0.0,0.0,0.0
61,High Risk,0,0.9071074724197388,91.45,2.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.4044850170612335,0.5026224553585052,329.21999999999997,1103.1557650208474,2.350816369056702
62,Low Risk,0,0.05323517322540283,19.85,59.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.05323517322540283,0.0,0.0,0.0,0.0
63,High Risk,0,0.7899413704872131,56.55,2.0,1,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.2870674133300781,0.502873957157135,203.57999999999998,682.5005346536636,2.352493047714234
64,Low Risk,0,0.12997928261756897,94.1,67.0,0,1,1,0,0,none,Kein pos. ROI verfuegbar,0.12997928261756897,0.0,0.0,0.0,0.0
65,Low Risk,0,0.11088617146015167,75.5,70.0,1,1,0,0,0,none,Kein pos. ROI verfuegbar,0.11088617146015167,0.0,0.0,0.0,0.0
66,Low Risk,0,0.019895505160093307,20.6,40.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.019895505160093307,0.0,0.0,0.0,0.0
67,Medium Risk,0,0.46541860699653625,91.0,28.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.09554202854633331,0.36987657845020294,327.6,807.8104473352432,1.465843856334686
68,High Risk,1,0.8363653421401978,70.4,3.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.3041122257709503,0.5322531163692474,253.44,899.2948654174805,2.548354109128317
69,High Risk,0,0.7326532602310181,101.3,30.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.23961563408374786,0.4930376261472702,364.67999999999995,1198.6730766892433,2.2869175076484685
70,Medium Risk,0,0.6626449227333069,109.1,52.0,0,1,1,1,1,payment_switch,Kreditkarten-Umstieg,0.5834131240844727,0.07923179864883423,120.0,207.46054158210757,0.728837846517563
71,Low Risk,0,0.06528625637292862,79.8,63.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.06528625637292862,0.0,0.0,0.0,0.0
72,Medium Risk,0,0.6962924599647522,19.55,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.17454423010349274,0.5217482298612595,70.38,244.80426945090295,2.4783215324083967
73,Low Risk,0,0.05696341395378113,79.6,70.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.05696341395378113,0.0,0.0,0.0,0.0
74,Low Risk,0,0.044517047703266144,24.5,27.0,0,0,0,0,1,none,Kein pos. ROI verfuegbar,0.044517047703266144,0.0,0.0,0.0,0.0
75,Low Risk,0,0.19260826706886292,71.85,53.0,0,1,0,1,1,none,Kein pos. ROI verfuegbar,0.19260826706886292,0.0,0.0,0.0,0.0
76,Low Risk,0,0.10649401694536209,54.35,28.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.10649401694536209,0.0,0.0,0.0,0.0
77,Medium Risk,0,0.682546079158783,75.65,5.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.11966484040021896,0.562881238758564,272.34000000000003,1021.9671770900488,2.7525415917237597
78,Low Risk,0,0.0609329417347908,55.25,55.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.0609329417347908,0.0,0.0,0.0,0.0
79,Low Risk,0,0.06769119203090668,90.8,68.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.06769119203090668,0.0,0.0,0.0,0.0
80,Low Risk,0,0.005294863134622574,26.1,72.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.005294863134622574,0.0,0.0,0.0,0.0
81,Medium Risk,0,0.49178725481033325,66.6,14.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.09628304839134216,0.3955042064189911,239.75999999999996,632.1739235401153,1.6366947094599407
82,Low Risk,0,0.10548866540193558,66.25,23.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.10548866540193558,0.0,0.0,0.0,0.0
83,Low Risk,0,0.27695322036743164,110.25,69.0,1,1,1,0,0,none,Kein pos. ROI verfuegbar,0.27695322036743164,0.0,0.0,0.0,0.0
84,Low Risk,0,0.3782118558883667,20.75,3.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.0681910291314125,0.3100208267569542,74.69999999999999,154.3903717249632,1.0668055117130282
85,Low Risk,0,0.10118629038333893,19.45,3.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.10118629038333893,0.0,0.0,0.0,0.0
86,Low Risk,0,0.24921387434005737,56.05,28.0,0,1,0,1,1,contract_2y,Jahresvertrag 2J (-15%),0.054476816207170486,0.1947370581328869,201.77999999999997,261.96029060035943,0.298247054219246
87,Low Risk,0,0.017049456015229225,20.1,35.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.017049456015229225,0.0,0.0,0.0,0.0
88,Low Risk,0,0.20860081911087036,58.35,24.0,0,1,0,0,1,none,Kein pos. ROI verfuegbar,0.20860081911087036,0.0,0.0,0.0,0.0
89,Low Risk,0,0.0035648762714117765,19.3,47.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.0035648762714117765,0.0,0.0,0.0,0.0
90,Medium Risk,1,0.5969698429107666,98.75,47.0,0,1,1,1,1,payment_switch,Kreditkarten-Umstieg,0.43804457783699036,0.15892526507377625,120.0,376.6528782248497,2.138773985207081
91,Low Risk,0,0.1436048001050949,44.1,58.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.1436048001050949,0.0,0.0,0.0,0.0
92,Medium Risk,1,0.5771202445030212,19.4,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.13128316402435303,0.4458370804786682,69.83999999999999,207.58174467086792,1.972247203191122
93,Low Risk,0,0.013551341369748116,94.25,72.0,0,1,1,0,0,none,Kein pos. ROI verfuegbar,0.013551341369748116,0.0,0.0,0.0,0.0
94,Low Risk,0,0.29296568036079407,20.05,5.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.05701206251978874,0.23595361784100533,72.17999999999999,113.54088090509177,0.5730241189400357
95,Medium Risk,1,0.5680938363075256,100.5,35.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.12555909156799316,0.44253474473953247,361.79999999999995,1067.3938043117523,1.9502316315968835
96,Low Risk,0,0.351272851228714,50.7,7.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.055086132138967514,0.2961867190897465,182.52,360.39999978840353,0.9745781272649765
97,High Risk,1,0.8142204284667969,45.7,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.26181820034980774,0.5524022281169891,164.52,605.8747637987137,2.6826815207799277
98,High Risk,1,0.7277610301971436,78.05,27.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.2464461773633957,0.48131485283374786,280.98,901.5989823281766,2.208765685558319
99,High Risk,1,0.7838075757026672,80.5,6.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.18647022545337677,0.5973373502492905,289.79999999999995,1154.0557606816292,2.982249001661937
100,Low Risk,0,0.23772747814655304,24.1,19.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.03810722008347511,0.19962025806307793,86.76,115.46035726368427,0.3308017204205194
101,Low Risk,0,0.0078546442091465,23.9,71.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.0078546442091465,0.0,0.0,0.0,0.0
102,Low Risk,0,0.10266438126564026,76.15,65.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.10266438126564026,0.0,0.0,0.0,0.0
103,High Risk,0,0.7351105213165283,19.5,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.20379309356212616,0.5313174277544022,70.19999999999999,248.6565561890602,2.5421161850293483
104,High Risk,1,0.929019033908844,69.55,1.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.4477672576904297,0.4812517762184143,250.38,803.3054648637772,2.2083451747894287
105,Low Risk,0,0.3546595573425293,110.2,70.0,0,1,1,0,1,none,Kein pos. ROI verfuegbar,0.3546595573425293,0.0,0.0,0.0,0.0
106,Medium Risk,0,0.5778942108154297,34.65,23.0,1,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.14320656657218933,0.43468764424324036,124.74,361.48624495267865,1.8979176282882688
107,Medium Risk,1,0.5341528058052063,70.75,29.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.10692819207906723,0.42722461372613907,254.7,725.4273941069841,1.8481640915075939
108,Low Risk,0,0.0655558779835701,20.2,8.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.0655558779835701,0.0,0.0,0.0,0.0
109,Low Risk,0,0.06201309710741043,19.65,17.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.06201309710741043,0.0,0.0,0.0,0.0
110,Medium Risk,0,0.4276060163974762,80.95,60.0,0,1,1,1,1,contract_1y,Jahresvertrag 1J (-10%),0.1837618052959442,0.24384421110153198,194.28000000000003,473.74053332805636,1.4384421110153196
111,Medium Risk,0,0.6237033605575562,56.75,10.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.14712290465831757,0.4765804558992386,204.29999999999998,649.102580934763,2.1772030393282575
112,Medium Risk,1,0.6724402904510498,89.4,13.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.17806260287761688,0.4943776875734329,321.84000000000003,1060.7367664575577,2.2958512504895525
113,Low Risk,0,0.028879784047603607,61.45,37.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.028879784047603607,0.0,0.0,0.0,0.0
114,Medium Risk,0,0.6389157772064209,100.4,30.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.1457209587097168,0.4931948184967041,361.44,1188.4022346496583,2.2879654566446943
115,Medium Risk,1,0.4961622953414917,100.6,49.0,0,1,1,0,0,none,Kein pos. ROI verfuegbar,0.4961622953414917,0.0,0.0,0.0,0.0
116,Low Risk,0,0.04934702068567276,20.2,59.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.04934702068567276,0.0,0.0,0.0,0.0
117,Medium Risk,0,0.4197390675544739,99.45,59.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.09662770479917526,0.3231113627552986,358.02,771.2022006243468,1.154075751701991
118,Low Risk,0,0.11068228632211685,20.0,23.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.11068228632211685,0.0,0.0,0.0,0.0
119,Low Risk,0,0.06648173183202744,19.6,20.0,0,0,0,1,0,none,Kein pos. ROI verfuegbar,0.06648173183202744,0.0,0.0,0.0,0.0
120,Low Risk,0,0.0808815211057663,70.8,63.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.0808815211057663,0.0,0.0,0.0,0.0
121,High Risk,0,0.8209249973297119,98.9,10.0,0,1,1,0,1,none,Kein pos. ROI verfuegbar,0.8209249973297119,0.0,0.0,0.0,0.0
122,Medium Risk,1,0.6503973007202148,86.0,19.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.12787209451198578,0.5225252062082291,309.6,1078.4920256137848,2.4835013747215267
123,Medium Risk,0,0.5911598801612854,20.05,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.1331040859222412,0.4580557942390442,72.17999999999999,220.41644818782808,2.053705294926962
124,High Risk,1,0.9200754165649414,70.1,1.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.41628512740135193,0.5037902891635895,252.35999999999996,847.5767824888228,2.3586019277572636
125,Medium Risk,1,0.49518585205078125,49.9,1.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.07342061400413513,0.4217652380466461,179.64,505.10604908466337,1.8117682536443076
126,Low Risk,0,0.023155389353632927,19.5,41.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.023155389353632927,0.0,0.0,0.0,0.0
127,Medium Risk,1,0.5986394286155701,20.1,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.13672631978988647,0.4619131088256836,72.36,222.8268836975098,2.0794207255045576
128,Low Risk,0,0.3207610845565796,33.6,18.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.05769345536828041,0.2630676291882992,120.96000000000001,212.13773617744448,0.7537841945886613
129,Medium Risk,0,0.5584871768951416,20.25,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.10430631041526794,0.45418086647987366,72.9,220.7319011092186,2.0278724431991573
130,Low Risk,0,0.17391927540302277,84.15,50.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.17391927540302277,0.0,0.0,0.0,0.0
131,Low Risk,0,0.036154605448246,20.15,33.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.036154605448246,0.0,0.0,0.0,0.0
132,Low Risk,0,0.15500636398792267,79.05,71.0,0,0,1,0,0,support_bundle,Support-Paket (-8%),0.07256340980529785,0.08244295418262482,151.776,156.41077267527578,0.03053692728280999
133,High Risk,1,0.7048036456108093,35.2,3.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.20747430622577667,0.49732933938503265,126.72,420.1438259124756,2.3155289292335515
134,Low Risk,0,0.20393890142440796,74.75,33.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.20393890142440796,0.0,0.0,0.0,0.0
135,Medium Risk,1,0.6643915176391602,91.15,31.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.16541001200675964,0.4989815056324005,328.14000000000004,1091.5719417214395,2.32654337088267
136,High Risk,1,0.7214359641075134,50.75,14.0,0,0,0,1,1,contract_2y,Jahresvertrag 2J (-15%),0.24608637392520905,0.4753495901823044,182.7,578.9758008420467,2.1689972678820295
137,High Risk,1,0.7337196469306946,49.95,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.18233118951320648,0.5513884574174881,179.82,661.0044827520848,2.675923049449921
138,High Risk,1,0.8923975229263306,76.2,1.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.3651880621910095,0.527209460735321,274.32,964.160661792755,2.5147297382354736
139,Low Risk,0,0.006219441071152687,20.3,28.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.006219441071152687,0.0,0.0,0.0,0.0
140,High Risk,1,0.8773586750030518,105.9,3.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.6115595698356628,0.2657991051673889,381.24,675.5550056934358,0.7719940344492596
141,Low Risk,0,0.18136151134967804,29.9,48.0,0,0,0,0,0,none,Kein pos. ROI verfuegbar,0.18136151134967804,0.0,0.0,0.0,0.0
142,High Risk,0,0.8009153008460999,101.25,39.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.33960530161857605,0.4613099992275238,364.5,1120.9832981228828,2.0753999948501587
143,Medium Risk,0,0.4111115634441376,105.25,48.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.1183444932103157,0.29276707023382187,378.9,739.529619410634,0.9517804682254792
144,Low Risk,0,0.38223057985305786,69.4,9.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.056692153215408325,0.32553842663764954,249.84,542.2168034076691,1.17025617758433
145,Low Risk,0,0.01570938527584076,99.9,72.0,0,1,1,0,0,none,Kein pos. ROI verfuegbar,0.01570938527584076,0.0,0.0,0.0,0.0
146,High Risk,0,0.7105976939201355,99.15,21.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.1752028465270996,0.5353948473930359,356.94,1274.0255788564682,2.5692989826202393
147,Low Risk,0,0.2634962499141693,64.9,10.0,0,1,0,0,0,none,Kein pos. ROI verfuegbar,0.2634962499141693,0.0,0.0,0.0,0.0
148,Low Risk,0,0.1839849352836609,51.05,36.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.030287811532616615,0.15369712375104427,183.77999999999997,188.30971601977944,0.024647491673628643
149,Medium Risk,0,0.6632966995239258,51.3,7.0,1,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.1868729293346405,0.4764237701892853,184.67999999999998,586.572945857048,2.176158467928569
150,High Risk,1,0.9217271208763123,94.9,10.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.48968490958213806,0.4320422112941742,341.64000000000004,984.0193404436112,1.8802814086278279
151,High Risk,1,0.7973586320877075,86.5,21.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.26672467589378357,0.530633956193924,311.4,1101.5960930585861,2.537559707959493
