customer_idx,risk_segment,y_true,p_churn_original,monthly_charges,tenure,is_senior_alone,has_support,internet_fiber,contract_m2m,payment_echeck,discount_id,discount_label,p_churn_after,retention_lift,cost_annual,expected_cost,revenue_saved,roi
28,High Risk,1,0.8986059427261353,80.2,2.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.37772706151008606,0.5208788812160492,288.71999999999997,136.61599999999999,300.7763011693954,1.2016184134317756
29,Low Risk,1,0.3455001413822174,109.5,70.0,0,1,1,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.3455001413822174,0.0,0.0,0.0,0.0,0.0
30,Low Risk,0,0.1492927074432373,110.75,72.0,0,1,1,0,1,below_threshold,Kein Angebot (Niedrigrisiko),0.1492927074432373,0.0,0.0,0.0,0.0,0.0
31,Low Risk,0,0.05181262269616127,39.4,20.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.05181262269616127,0.0,0.0,0.0,0.0,0.0
32,High Risk,1,0.7513366937637329,29.95,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.21967792510986328,0.5316587686538696,107.82,82.346,114.64689687252041,0.392258238074957
33,Low Risk,0,0.39318132400512695,50.05,55.0,1,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.39318132400512695,0.0,0.0,0.0,0.0,0.0
34,Low Risk,0,0.2505542039871216,49.75,52.0,0,1,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.2505542039871216,0.0,0.0,0.0,0.0,0.0
35,High Risk,0,0.7379395961761475,50.15,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.18559014797210693,0.5523494482040405,180.53999999999996,104.16199999999998,199.4423387575149,0.9147322320761405
36,Low Risk,0,0.035920485854148865,53.1,36.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.035920485854148865,0.0,0.0,0.0,0.0,0.0
37,Medium Risk,0,0.6902036070823669,83.2,15.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.14270341396331787,0.5475001931190491,299.52,89.856,327.97451568603515,2.650001287460327
38,Medium Risk,1,0.5538626909255981,71.05,50.0,0,0,1,1,1,contract_1y,Jahresvertrag 1J (-10%),0.2532515227794647,0.3006111681461334,170.52,51.156,153.78064917683602,2.0061116814613342
39,Low Risk,0,0.03651788458228111,25.85,27.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.03651788458228111,0.0,0.0,0.0,0.0,0.0
40,Low Risk,0,0.3216583728790283,80.75,40.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.3216583728790283,0.0,0.0,0.0,0.0,0.0
41,Low Risk,0,0.028299890458583832,24.75,51.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.028299890458583832,0.0,0.0,0.0,0.0,0.0
42,Medium Risk,1,0.5039498209953308,53.85,5.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.10372161120176315,0.40022820979356766,193.86,58.158,155.17648150116204,1.6681880652904508
43,High Risk,1,0.9175803065299988,78.8,1.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.43574032187461853,0.48183998465538025,283.67999999999995,135.10399999999998,273.3767336940765,1.0234540331454032
44,Low Risk,0,0.32553839683532715,21.2,10.0,0,0,0,1,1,below_threshold,Kein Angebot (Niedrigrisiko),0.32553839683532715,0.0,0.0,0.0,0.0,0.0
45,High Risk,0,0.7700180411338806,94.05,7.0,0,0,1,0,0,none,Kein pos. ROI verfuegbar,0.7700180411338806,0.0,0.0,0.0,0.0,0.0
46,High Risk,0,0.7827248573303223,78.75,16.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.2850366234779358,0.4976882338523865,283.5,135.05,282.18922859430313,1.0895166871107227
47,Medium Risk,1,0.4129389226436615,106.35,32.0,0,0,1,1,0,contract_1y,Jahresvertrag 1J (-10%),0.2868767976760864,0.12606212496757507,255.24,76.572,96.52829033017159,0.2606212496757507
48,Medium Risk,0,0.48089736700057983,90.7,31.0,0,0,1,0,1,payment_switch,Kreditkarten-Umstieg,0.34617486596107483,0.134722501039505,120.0,36.0,87.97918207883835,1.4438661688566208
49,Low Risk,0,0.12021855264902115,90.1,50.0,0,1,1,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.12021855264902115,0.0,0.0,0.0,0.0,0.0
50,Low Risk,0,0.06348373740911484,19.9,35.0,0,0,0,0,1,below_threshold,Kein Angebot (Niedrigrisiko),0.06348373740911484,0.0,0.0,0.0,0.0,0.0
51,Low Risk,0,0.10049615800380707,19.9,7.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.10049615800380707,0.0,0.0,0.0,0.0,0.0
52,Medium Risk,0,0.5756022930145264,49.8,17.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.12266725301742554,0.45293503999710083,179.27999999999997,53.78399999999999,162.40438794136045,2.019566933314006
53,Medium Risk,0,0.5612518191337585,98.85,51.0,0,0,1,0,1,payment_switch,Kreditkarten-Umstieg,0.48032131791114807,0.08093050122261047,120.0,36.0,57.599856330156314,0.5999960091710087
54,High Risk,1,0.8333452939987183,74.4,4.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.25493961572647095,0.5784056782722473,267.84000000000003,130.352,309.8403537368775,1.3769512837308018
55,Medium Risk,0,0.6013073325157166,85.6,23.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.14185884594917297,0.4594484865665436,308.15999999999997,92.448,283.16729124069207,2.0629899104436236
56,High Risk,1,0.729305624961853,94.25,34.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.26402366161346436,0.46528196334838867,339.29999999999995,151.78999999999996,315.7403403282165,1.0801129213269425
57,Low Risk,0,0.045300520956516266,50.55,67.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.045300520956516266,0.0,0.0,0.0,0.0,0.0
58,Low Risk,0,0.03529444336891174,83.25,51.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.03529444336891174,0.0,0.0,0.0,0.0,0.0
59,Low Risk,0,0.03311755508184433,26.1,10.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.03311755508184433,0.0,0.0,0.0,0.0,0.0
60,Low Risk,0,0.018878433853387833,25.0,64.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.018878433853387833,0.0,0.0,0.0,0.0,0.0
61,High Risk,0,0.9071074724197388,91.45,2.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.4044850170612335,0.5026224553585052,329.21999999999997,148.766,330.9467295062542,1.2246126769977967
62,Low Risk,0,0.05323517322540283,19.85,59.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.05323517322540283,0.0,0.0,0.0,0.0,0.0
63,High Risk,0,0.7899413704872131,56.55,2.0,1,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.2870674133300781,0.502873957157135,203.57999999999998,111.07399999999998,204.7501603960991,0.8433671281857061
64,Low Risk,0,0.12997928261756897,94.1,67.0,0,1,1,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.12997928261756897,0.0,0.0,0.0,0.0,0.0
65,Low Risk,0,0.11088617146015167,75.5,70.0,1,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.11088617146015167,0.0,0.0,0.0,0.0,0.0
66,Low Risk,0,0.019895505160093307,20.6,40.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.019895505160093307,0.0,0.0,0.0,0.0,0.0
67,Medium Risk,0,0.46541860699653625,91.0,28.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.09554202854633331,0.36987657845020294,327.6,98.28,242.343134200573,1.4658438563346865
68,High Risk,1,0.8363653421401978,70.4,3.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.3041122257709503,0.5322531163692474,253.44,126.032,269.7884596252442,1.1406345977628236
69,High Risk,0,0.7326532602310181,101.3,30.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.23961563408374786,0.4930376261472702,364.67999999999995,159.404,359.60192300677295,1.2559153032971127
70,Medium Risk,0,0.6626449227333069,109.1,52.0,0,1,1,1,1,payment_switch,Kreditkarten-Umstieg,0.5834131240844727,0.07923179864883423,120.0,36.0,62.23816247463226,0.7288378465175628
71,Low Risk,0,0.06528625637292862,79.8,63.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.06528625637292862,0.0,0.0,0.0,0.0,0.0
72,Medium Risk,0,0.6962924599647522,19.55,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.17454423010349274,0.5217482298612595,70.38,21.113999999999997,73.44128083527087,2.4783215324083967
73,Low Risk,0,0.05696341395378113,79.6,70.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.05696341395378113,0.0,0.0,0.0,0.0,0.0
74,Low Risk,0,0.044517047703266144,24.5,27.0,0,0,0,0,1,below_threshold,Kein Angebot (Niedrigrisiko),0.044517047703266144,0.0,0.0,0.0,0.0,0.0
75,Low Risk,0,0.19260826706886292,71.85,53.0,0,1,0,1,1,below_threshold,Kein Angebot (Niedrigrisiko),0.19260826706886292,0.0,0.0,0.0,0.0,0.0
76,Low Risk,0,0.10649401694536209,54.35,28.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.10649401694536209,0.0,0.0,0.0,0.0,0.0
77,Medium Risk,0,0.682546079158783,75.65,5.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.11966484040021896,0.562881238758564,272.34000000000003,81.70200000000001,306.5901531270147,2.75254159172376
78,Low Risk,0,0.0609329417347908,55.25,55.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.0609329417347908,0.0,0.0,0.0,0.0,0.0
79,Low Risk,0,0.06769119203090668,90.8,68.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.06769119203090668,0.0,0.0,0.0,0.0,0.0
80,Low Risk,0,0.005294863134622574,26.1,72.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.005294863134622574,0.0,0.0,0.0,0.0,0.0
81,Medium Risk,0,0.49178725481033325,66.6,14.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.09628304839134216,0.3955042064189911,239.75999999999996,71.92799999999998,189.65217706203458,1.6366947094599409
82,Low Risk,0,0.10548866540193558,66.25,23.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.10548866540193558,0.0,0.0,0.0,0.0,0.0
83,Low Risk,0,0.27695322036743164,110.25,69.0,1,1,1,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.27695322036743164,0.0,0.0,0.0,0.0,0.0
84,Low Risk,0,0.3782118558883667,20.75,3.0,0,0,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.3782118558883667,0.0,0.0,0.0,0.0,0.0
85,Low Risk,0,0.10118629038333893,19.45,3.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.10118629038333893,0.0,0.0,0.0,0.0,0.0
86,Low Risk,0,0.24921387434005737,56.05,28.0,0,1,0,1,1,below_threshold,Kein Angebot (Niedrigrisiko),0.24921387434005737,0.0,0.0,0.0,0.0,0.0
87,Low Risk,0,0.017049456015229225,20.1,35.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.017049456015229225,0.0,0.0,0.0,0.0,0.0
88,Low Risk,0,0.20860081911087036,58.35,24.0,0,1,0,0,1,below_threshold,Kein Angebot (Niedrigrisiko),0.20860081911087036,0.0,0.0,0.0,0.0,0.0
89,Low Risk,0,0.0035648762714117765,19.3,47.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.0035648762714117765,0.0,0.0,0.0,0.0,0.0
90,Medium Risk,1,0.5969698429107666,98.75,47.0,0,1,1,1,1,payment_switch,Kreditkarten-Umstieg,0.43804457783699036,0.15892526507377625,120.0,36.0,112.99586346745491,2.138773985207081
91,Low Risk,0,0.1436048001050949,44.1,58.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.1436048001050949,0.0,0.0,0.0,0.0,0.0
92,Medium Risk,1,0.5771202445030212,19.4,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.13128316402435303,0.4458370804786682,69.83999999999999,20.951999999999995,62.27452340126037,1.9722472031911216
93,Low Risk,0,0.013551341369748116,94.25,72.0,0,1,1,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.013551341369748116,0.0,0.0,0.0,0.0,0.0
94,Low Risk,0,0.29296568036079407,20.05,5.0,0,0,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.29296568036079407,0.0,0.0,0.0,0.0,0.0
95,Medium Risk,1,0.5680938363075256,100.5,35.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.12555909156799316,0.44253474473953247,361.79999999999995,108.53999999999998,320.21814129352566,1.9502316315968835
96,Low Risk,0,0.351272851228714,50.7,7.0,0,1,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.351272851228714,0.0,0.0,0.0,0.0,0.0
97,High Risk,1,0.8142204284667969,45.7,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.26181820034980774,0.5524022281169891,164.52,99.356,181.7624291396141,0.8294056638714735
98,High Risk,1,0.7277610301971436,78.05,27.0,1,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.2464461773633957,0.48131485283374786,280.98,134.29399999999998,270.47969469845293,1.014086219030284
99,High Risk,1,0.7838075757026672,80.5,6.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.18647022545337677,0.5973373502492905,289.79999999999995,136.94,346.21672820448873,1.5282366598838084
100,Low Risk,0,0.23772747814655304,24.1,19.0,0,0,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.23772747814655304,0.0,0.0,0.0,0.0,0.0
101,Low Risk,0,0.0078546442091465,23.9,71.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.0078546442091465,0.0,0.0,0.0,0.0,0.0
102,Low Risk,0,0.10266438126564026,76.15,65.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.10266438126564026,0.0,0.0,0.0,0.0,0.0
103,High Risk,0,0.7351105213165283,19.5,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.20379309356212616,0.5313174277544022,70.19999999999999,71.06,74.59696685671805,0.04977437175229457
104,High Risk,1,0.929019033908844,69.55,1.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.4477672576904297,0.4812517762184143,250.38,125.11399999999999,240.99163945913313,0.9261764427572705
105,Low Risk,0,0.3546595573425293,110.2,70.0,0,1,1,0,1,below_threshold,Kein Angebot (Niedrigrisiko),0.3546595573425293,0.0,0.0,0.0,0.0,0.0
106,Medium Risk,0,0.5778942108154297,34.65,23.0,1,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.14320656657218933,0.43468764424324036,124.74,37.422,108.44587348580359,1.8979176282882688
107,Medium Risk,1,0.5341528058052063,70.75,29.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.10692819207906723,0.42722461372613907,254.7,76.41,217.6282182320952,1.8481640915075934
108,Low Risk,0,0.0655558779835701,20.2,8.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.0655558779835701,0.0,0.0,0.0,0.0,0.0
109,Low Risk,0,0.06201309710741043,19.65,17.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.06201309710741043,0.0,0.0,0.0,0.0,0.0
110,Medium Risk,0,0.4276060163974762,80.95,60.0,0,1,1,1,1,contract_1y,Jahresvertrag 1J (-10%),0.1837618052959442,0.24384421110153198,194.28000000000003,58.284000000000006,142.1221599984169,1.4384421110153194
111,Medium Risk,0,0.6237033605575562,56.75,10.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.14712290465831757,0.4765804558992386,204.29999999999998,61.28999999999999,194.7307742804289,2.177203039328258
112,Medium Risk,1,0.6724402904510498,89.4,13.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.17806260287761688,0.4943776875734329,321.84000000000003,96.552,318.2210299372673,2.2958512504895525
113,Low Risk,0,0.028879784047603607,61.45,37.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.028879784047603607,0.0,0.0,0.0,0.0,0.0
114,Medium Risk,0,0.6389157772064209,100.4,30.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.1457209587097168,0.4931948184967041,361.44,108.432,356.5206703948975,2.287965456644694
115,Medium Risk,1,0.4961622953414917,100.6,49.0,0,1,1,0,0,none,Kein pos. ROI verfuegbar,0.4961622953414917,0.0,0.0,0.0,0.0,0.0
116,Low Risk,0,0.04934702068567276,20.2,59.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.04934702068567276,0.0,0.0,0.0,0.0,0.0
117,Medium Risk,0,0.4197390675544739,99.45,59.0,0,1,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.09662770479917526,0.3231113627552986,358.02,107.40599999999999,231.36066018730406,1.1540757517019913
118,Low Risk,0,0.11068227887153625,20.0,23.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.11068227887153625,0.0,0.0,0.0,0.0,0.0
119,Low Risk,0,0.06648173183202744,19.6,20.0,0,0,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.06648173183202744,0.0,0.0,0.0,0.0,0.0
120,Low Risk,0,0.0808815211057663,70.8,63.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.0808815211057663,0.0,0.0,0.0,0.0,0.0
121,High Risk,0,0.8209249973297119,98.9,10.0,0,1,1,0,1,none,Kein pos. ROI verfuegbar,0.8209249973297119,0.0,0.0,0.0,0.0,0.0
122,Medium Risk,1,0.6503973007202148,86.0,19.0,0,0,1,1,0,contract_2y,Jahresvertrag 2J (-15%),0.12787209451198578,0.5225252062082291,309.6,92.88000000000001,323.5476076841354,2.4835013747215267
123,Medium Risk,0,0.5911598801612854,20.05,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.1331040859222412,0.4580557942390442,72.17999999999999,21.653999999999996,66.12493445634843,2.0537052949269623
124,High Risk,1,0.9200754165649414,70.1,1.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.41628512740135193,0.5037902891635895,252.35999999999996,125.70799999999998,254.27303474664686,1.022727549134875
125,Medium Risk,1,0.49518585205078125,49.9,1.0,0,1,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.07342061400413513,0.4217652380466461,179.64,53.891999999999996,151.531814725399,1.8117682536443072
126,Low Risk,0,0.023155389353632927,19.5,41.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.023155389353632927,0.0,0.0,0.0,0.0,0.0
127,Medium Risk,1,0.5986394286155701,20.1,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.13672631978988647,0.4619131088256836,72.36,21.708,66.84806510925293,2.0794207255045576
128,Low Risk,0,0.3207610845565796,33.6,18.0,0,1,0,1,0,below_threshold,Kein Angebot (Niedrigrisiko),0.3207610845565796,0.0,0.0,0.0,0.0,0.0
129,Medium Risk,0,0.5584871768951416,20.25,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.10430631041526794,0.45418086647987366,72.9,21.87,66.21957033276558,2.0278724431991577
130,Low Risk,0,0.17391927540302277,84.15,50.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.17391927540302277,0.0,0.0,0.0,0.0,0.0
131,Low Risk,0,0.036154605448246,20.15,33.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.036154605448246,0.0,0.0,0.0,0.0,0.0
132,Low Risk,0,0.15500636398792267,79.05,71.0,0,0,1,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.15500636398792267,0.0,0.0,0.0,0.0,0.0
133,High Risk,1,0.7048036456108093,35.2,3.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.20747430622577667,0.49732933938503265,126.72,88.01599999999999,126.04314777374267,0.4320481250425228
134,Low Risk,0,0.20393890142440796,74.75,33.0,0,1,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.20393890142440796,0.0,0.0,0.0,0.0,0.0
135,Medium Risk,1,0.6643915176391602,91.15,31.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.16541001200675964,0.4989815056324005,328.14000000000004,98.44200000000001,327.47158251643185,2.3265433708826704
136,High Risk,1,0.7214359641075134,50.75,14.0,0,0,0,1,1,contract_2y,Jahresvertrag 2J (-15%),0.24608637392520905,0.4753495901823044,182.7,104.81,173.69274025261402,0.6572153444577236
137,High Risk,1,0.7337196469306946,49.95,1.0,0,0,0,1,0,contract_2y,Jahresvertrag 2J (-15%),0.18233118951320648,0.5513884574174881,179.82,103.946,198.30134482562545,0.9077342545708873
138,High Risk,1,0.8923975229263306,76.2,1.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.3651880621910095,0.527209460735321,274.32,132.296,289.24819853782657,1.1863714589845995
139,Low Risk,0,0.006219441071152687,20.3,28.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.006219441071152687,0.0,0.0,0.0,0.0,0.0
140,High Risk,1,0.8773586750030518,105.9,3.0,0,0,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.6115595698356628,0.2657991051673889,381.24,164.372,202.6665017080307,0.23297460460437713
141,Low Risk,0,0.18136151134967804,29.9,48.0,0,0,0,0,0,below_threshold,Kein Angebot (Niedrigrisiko),0.18136151134967804,0.0,0.0,0.0,0.0,0.0
142,High Risk,0,0.8009153008460999,101.25,39.0,0,1,1,1,1,contract_2y,Jahresvertrag 2J (-15%),0.33960530161857605,0.4613099992275238,364.5,159.35,336.29498943686485,1.1104172540750854
